version,archivo_origen,formato_origen,fila_origen,bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio,medida
9,reporte_redundancias_correlaciones_v9.csv,detallado,1,Hechos discriminatorios,correlacion_pearson,Hechos discriminatorios - Genero [n],Hechos discriminatorios - LGTBIFobia [n],"0,748",19,Fusionadas como discriminacion por sexo-genero y diversidad sexual.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,2,Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - PM2.5(�g/m�) [media],"0,749",17,PM10 y PM2.5 se integran en un indice estandarizado de particulas.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,3,Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,076",15,Ozono se mantiene separado porque su comportamiento territorial es distinto al de las particulas.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,4,Medio ambiente,correlacion_pearson,Contaminacion - PM2.5(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"0,525",13,Ozono se mantiene separado porque no mide material particulado.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,5,Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,267",19,"NO, NO2 y NOx son muy redundantes; se conserva NO2 como indicador mas interpretable de trafico urbano.",,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,6,Medio ambiente,correlacion_pearson,Contaminacion - NO2(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,320",19,NOx se elimina por redundancia con NO2.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,7,Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NO2(�g/m�) [media],"0,922",19,NO se elimina por redundancia con NO2.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,8,Medio ambiente,correlacion_pearson,Contaminacion - SO2(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,372",15,SO2 se elimina; se conserva un conjunto de contaminantes mas interpretable.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,9,Movilidad,correlacion_pearson,Edat mitjana dels turismes particulars [2025],Percentatge de turismes particulars de 10 i més anys [2025],"0,002",19,Se conserva la edad media de los turismos y se elimina el porcentaje de turismos de 10 o mas anos.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,10,Movilidad,correlacion_pearson,Edat mitjana dels turismes particulars [2025],Percentatge de turismes particulars de 16 i més CV [2025],"-0,604",19,Se elimina el porcentaje de turismos de 16 o mas CV para reducir detalle no esencial.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,11,Bienestar social - vulnerabilidad,correlacion_pearson,Vulnerabilidad global [indice],Vulnerabilidad economia [indice],"0,239",16,Se conservan ambos indices: el global resume la vulnerabilidad general y economia mantiene una dimension especifica.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,12,Bienestar social - vulnerabilidad,correlacion_pearson,Vulnerabilidad global [indice],Vulnerabilidad demografia [indice],"0,228",16,Se conservan los indices porque cada uno representa una dimension distinta de vulnerabilidad.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,13,Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cheques concedidos,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Concedidos","1,000",19,Los concedidos aparecen duplicados en dos tablas fuente; se conserva la cobertura y el porcentaje concedido sobre solicitudes.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,14,Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cobertura,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","0,825",19,"Cobertura y porcentaje concedido sobre solicitudes miden aspectos relacionados pero no identicos, por eso se mantienen separadas.",,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,15,Pobreza,correlacion_pearson,Pobreza 2025 movil | No [%],Pobreza 2025 lavadora | No [%],"0,535",19,Se conservan ambas carencias seleccionadas por su interpretacion material directa.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,16,Educacion - titulacion,correlacion_pearson,Padron 2025 titulacion 18+ | Bachiller FP2 o superior [%],"Educacion superior [% distrito, mayores 15, censo 2022]","0,995",19,Se conserva Padron 2025 en porcentajes y se eliminan indicadores de censo 2022 por solapamiento temporal y conceptual.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,17,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado matriculado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,"1,000",18,No se conserva el recuento absoluto de presentados; se transforma en porcentaje sobre alumnado matriculado.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,18,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media expediente de Bachillerato,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media PAU,"-0,161",18,Se conserva la media PAU y la diferencia expediente-PAU como medida complementaria de brecha entre evaluacion interna y externa.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,19,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado apto,"0,998",18,El porcentaje de aptos resume el resultado academico evitando conservar recuentos absolutos.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,45,Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Renta media por hogar [EUR distrito],"0,973",19,Rentas por persona y por hogar presentan solapamiento; se conserva renta por persona como indicador principal.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,46,Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Media renta por unidad de consumo [EUR distrito],"0,996",19,Las distintas medidas medias de renta son muy próximas; se conserva renta por persona y mediana por unidad de consumo.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,47,Economia,correlacion_pearson,INE 2023 desigualdad | Índice de Gini [distrito],INE 2023 desigualdad | Distribución de la renta P80/P20 [distrito],"0,881",19,Gini y P80/P20 miden desigualdad; se conserva Gini como indicador sintetico.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,48,Economia,correlacion_pearson,IBI - media Num. Recibos totales,IBI - media Importe Recibos totales,"0,698",19,IBI se elimina del bloque final por su caracter fiscal-administrativo y su solapamiento con valor catastral/renta.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,49,Economia,correlacion_pearson,IAE - media Numero recibos totales,IAE - media Importe recibos totales,"0,857",19,IAE se elimina del bloque final porque la actividad economica queda resumida por empresas y actividades por habitante.,,,
9,reporte_redundancias_correlaciones_v9.csv,detallado,50,Economia,correlacion_pearson,IVTM - media Recibos Totales,"IVTM - media Importe Rec, Totales","0,887",19,IVTM se elimina del bloque final porque duplica informacion fiscal ligada al parque de vehiculos ya tratado en movilidad.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,1,Hechos discriminatorios,correlacion_pearson,Hechos discriminatorios - Genero [n],Hechos discriminatorios - LGTBIFobia [n],"0,748",19,Fusionadas como discriminacion por sexo-genero y diversidad sexual.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,2,Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - PM2.5(�g/m�) [media],"0,749",17,PM10 y PM2.5 se integran en un indice estandarizado de particulas.,,,
