bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Sociedad y Bienestar / demografia secundaria,,,,"38,98",,,Demografia - Tasa bruta de emigracion intraurbana [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"37,8",,,Demografia - Tasa bruta de emigracion interurbana [2024],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"90,94",,,Demografia - Relacion de masculinidad [hombres_por_100_mujeres],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"85,56",,,Demografia - Razon de progresividad demografica [2025],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"3,12",,,Innovacion social - Proyectos [por_km2],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,"0,23",,,Innovacion social - Proyectos [por_1000_hab],"variable traducida, normalizada o seleccionada frente a duplicados v17"
Sociedad y Bienestar / demografia secundaria,,,,,,,Majors de 64 anys en fulls familiars unipersonals [2025],"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Naixements registrats al Padró [2024],"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,INE 2023 demograficos | Porcentaje de hogares unipersonales [distrito],"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Encuesta demografica 2024 | Tasa general de fecundidad,"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Encuesta demografica 2025 | Indice de envejecimiento,"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Encuesta demografica 2025 | Indice de sobre-envejecimiento,"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Encuesta demografica 2025 | Indice demografico de dependencia,"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Sociedad y Bienestar / demografia secundaria,,,,,,,Proyectos de innovacion social [n],"eliminada por duplicidad, antiguedad de fuente, recuento absoluto o menor interpretabilidad"
Medio Ambiente / equipamientos secundarios,correlacion_pearson,Zonas de juegos infantiles [n],Medio ambiente 2024 | Juegos infantiles zonas [n],"0,94",19,"Las dos fuentes miden zonas infantiles, pero no coinciden exactamente; se prioriza la fuente 2024 y se usa su superficie normalizada por km2.",,
