refman,hoja,coorx,coory
95067,YJ2790F,729459.07,4370426.11
96068,YJ2790F,729516.94,4370418.78
81061,YJ2780E,727964.64,4370472.2
98012,YJ2790B,729726.97,4369985.76
33014,YJ2830A,723225.67,4379963.73
48909,YJ2749B,724756.08,4378853.04
71816,YJ2778A,727060.09,4377934.96
48431,YJ2744D,724692.64,4374178.07
48449,YJ2744D,724738.85,4374219.47
48444,YJ2744D,724764.13,4374222.66
57432,YJ2754D,725632.98,4374167.83
56482,YJ2754H,725549.55,4374691.34
55498,YJ2754H,725418.28,4374734.73
56499,YJ2754H,725516.58,4374758.98
55482,YJ2754H,725448.69,4374662.31
97211,YJ2792B,729608.8,4371974.01
97212,YJ2792B,729641.18,4371977.61
97213,YJ2792B,729677.05,4371963.94
98211,YJ2792B,729709.15,4371949.82
98212,YJ2792B,729756.62,4372001.09
96345,YJ2793D,729548.57,4373267.34
99392,YJ2793H,729843.47,4373736.13
99389,YJ2793H,729845.02,4373657.21
23579,YJ2725G,722233.46,4375543.9
99376,YJ2793F,729844.92,4373487.14
02248,YJ3702C,730087.82,4372226.2
49448,YJ2744D,724790.45,4374230.43
52467,YJ2754E,725100.75,4374420.98
52451,YJ2754E,725107.15,4374363.01
51454,YJ2754E,725063.58,4374335.29
51441,YJ2754E,725021.24,4374301.78
51466,YJ2754E,725043.77,4374388.45
51451,YJ2754E,724992.86,4374377.27
50454,YJ2754E,724961.95,4374381.68
50459,YJ2754E,724943.72,4374341.74
50458,YJ2754E,724902.24,4374326.07
50378,YJ2753G,724908.5,4373555.55
50377,YJ2753E,724921.56,4373535.7
50376,YJ2753E,724915.36,4373506.22
50379,YJ2753G,724947.85,4373552.79
69813,YJ2668B,726874.61,4368000.79
49379,YJ2743F,724831.31,4373512.08
54416,YJ2754A,725329.57,4373893.04
54421,YJ2754C,725345.02,4374055.82
49364,YJ2743F,724863.21,4373479.56
49367,YJ2743F,724781.33,4373431.67
48364,YJ2743F,724787.49,4373455.79
48363,YJ2743F,724767.81,4373472.25
56536,YJ2755D,725524.05,4375130.23
56528,YJ2755B,725439.89,4375010.94
55514,YJ2755B,725459.68,4374949.67
56512,YJ2755B,725546.76,4374985.37
55515,YJ2755B,725475.54,4374895.3
56508,YJ2755B,725506.48,4374833.66
54504,YJ2755A,725386.32,4374841.64
00403,YJ3704A,729974.36,4373864.64
59439,YJ2754D,725821.5,4374131.25
59426,YJ2754B,725870.71,4374036.08
96218,YJ2792B,729513.17,4371928.46
99202,YJ2792B,729837.39,4371871.2
99201,YJ2792B,729792.92,4371877.72
98202,YJ2792B,729738.95,4371886.2
98361,YJ2793F,729690.38,4373475.11
99403,YJ2794B,729892.7,4373877.11
95266,YJ2792F,729429.04,4372415.84
94264,YJ2792E,729374.32,4372429.09
94253,YJ2792E,729353.13,4372377.32
95251,YJ2792F,729405.71,4372370.75
95254,YJ2792F,729480.43,4372355.5
94214,YJ2792A,729385.23,4371920.3
98224,YJ2792D,729764.58,4372059.32
99228,YJ2792D,729805.47,4372052.14
94219,YJ2792A,729332.9,4371956.98
98372,YJ2793H,729731.14,4373597.66
00218,YJ3702A,729909.43,4371945.7
00214,YJ3702A,729949.78,4371926.03
95265,YJ2792F,729480.08,4372403.68
01218,YJ3702A,730003.29,4371896.51
00202,YJ3702A,729941.01,4371856.79
00201,YJ3702A,729893.26,4371871.08
01208,YJ3702A,729997.41,4371849.1
00206,YJ3702A,729932.53,4371800.86
96234,YJ2792D,729575.12,4372123.86
96238,YJ2792D,729514.26,4372144.12
96249,YJ2792D,729536.22,4372210.75
97246,YJ2792D,729629.68,4372210.07
97245,YJ2792D,729664.1,4372183.34
97237,YJ2792D,729616.69,4372124.93
97205,YJ2792B,729666.8,4371784.04
98205,YJ2791H,729785.48,4371793.18
98206,YJ2791H,729740.08,4371796.94
98207,YJ2792B,729694.76,4371782.81
97206,YJ2792B,729632.84,4371796.3
99336,YJ2793D,729862.02,4373112.92
00313,YJ3703A,729987.24,4372997.58
99332,YJ2793D,729841.5,4373182.73
99338,YJ2793D,729796.02,4373090.47
00337,YJ3703C,729914.93,4373144.18
00331,YJ3703C,729910.75,4373173.25
99346,YJ2793D,729851.88,4373225.09
00348,YJ3703C,729912.26,4373255.84
99342,YJ2793D,729839.09,4373293.6
70454,YJ2774E,726956.96,4374337
44748,YJ2747C,724365.09,4377212.91
44749,YJ2747C,724357.78,4377271.35
44756,YJ2747E,724371.82,4377353.53
44757,YJ2747E,724357.84,4377325.09
45752,YJ2747F,724409.1,4377333.16
27956,YJ2729F,722606.94,4379357.88
53770,YJ2757E,725215.2,4377473.51
69779,YJ2767H,726844.31,4377558
49657,YJ2746F,724887.78,4376306.04
50661,YJ2756E,724895.7,4376411.64
50652,YJ2756E,724922.59,4376328.53
50648,YJ2756C,724946.18,4376199.73
94715,YJ2697A,729304.46,4367056.79
92714,YJ2697A,729223.33,4366989.34
93725,YJ2697C,729260.14,4367043.32
93727,YJ2697A,729266.47,4367017.96
95722,YJ2697B,729420.59,4367018
93704,YJ2697A,729241.19,4366895.5
56442,YJ2754D,725528.73,4374259.11
55448,YJ2754D,725400.54,4374247.75
54447,YJ2754C,725319.9,4374220.71
54445,YJ2754C,725374.26,4374208.96
55449,YJ2754D,725455.44,4374237.44
55443,YJ2754D,725478.77,4374278.62
55456,YJ2754F,725432.11,4374315.55
55442,YJ2754D,725438.6,4374277.27
47406,YJ2744B,724661.75,4373818.27
47409,YJ2744B,724636.8,4373832.89
58458,YJ2754F,725696.12,4374344.19
47368,YJ2743F,724620.49,4373431.79
54411,YJ2754A,725282.73,4373977.41
60402,YJ2764A,725937.87,4373871.51
68936,YJ2669D,726733.59,4369106.64
68925,YJ2669D,726768.51,4369091.43
68925,YJ2669D,726758.25,4369056.74
68922,YJ2669D,726731.64,4369056.82
93729,YJ2697C,729222.7,4367078.3
95722,YJ2697D,729382.73,4367116.13
93728,YJ2697C,729233.08,4367044.02
93727,YJ2697A,729237.42,4367011.97
52453,YJ2754E,725171.75,4374383.59
54469,YJ2754E,725317.2,4374494.09
53466,YJ2754E,725252.95,4374453.7
53461,YJ2754E,725198.6,4374405.53
53466,YJ2754E,725252.48,4374344
54442,YJ2754C,725338.54,4374286.49
54449,YJ2754C,725351.4,4374250.64
48408,YJ2744B,724706.71,4373809.59
51381,YJ2753G,725021.12,4373656.91
48409,YJ2744B,724741.05,4373836.75
48406,YJ2744B,724752.35,4373816.35
47393,YJ2743H,724682.16,4373775.25
47405,YJ2744B,724673.89,4373798.14
61401,YJ2764A,726020.57,4373873.7
60406,YJ2764A,725934.69,4373796.34
66409,YJ2764B,726547.21,4373811.79
52539,YJ2755C,725136.4,4375105.05
51524,YJ2755C,725034.51,4375073.15
52548,YJ2755C,725127.53,4375151.11
52559,YJ2755E,725111.31,4375310.22
50513,YJ2755A,724990.9,4374992.41
51514,YJ2755A,725039.07,4375005.93
51517,YJ2755A,725063.37,4374935.06
58517,YJ2755B,725713.04,4374918.64
57503,YJ2755B,725657.98,4374885.07
57505,YJ2755B,725684.39,4374810.53
58509,YJ2755B,725747.69,4374827.85
58493,YJ2754H,725769.4,4374766.51
00357,YJ3703E,729883.03,4373285.61
99359,YJ2793F,729847.86,4373351.3
00358,YJ3703E,729907.31,4373370.48
52506,YJ2755A,725182.88,4374846.35
53504,YJ2755A,725245.39,4374876.52
52489,YJ2754G,725151.83,4374662.6
51495,YJ2754G,725080.28,4374742.83
53491,YJ2754G,725165.91,4374762.9
53491,YJ2754G,725256.47,4374800.53
58498,YJ2754H,725702.82,4374748.37
58482,YJ2754H,725722.15,4374688.15
58495,YJ2754H,725787.4,4374709.33
97235,YJ2792D,729659.13,4372112.85
98237,YJ2792D,729691.64,4372117.68
98236,YJ2792D,729724.23,4372106.41
98231,YJ2792D,729697.17,4372179.47
98232,YJ2792D,729734.3,4372183.78
98235,YJ2792D,729765.81,4372107.06
96404,YJ2794B,729549.59,4373865.96
97207,YJ2792B,729606.46,4371827.68
96205,YJ2792B,729567.55,4371809.65
96382,YJ2793H,729547.18,4373665.07
96403,YJ2794B,729591.38,4373853.42
61992,YJ2669G,726002.16,4369754.57
59475,YJ2754F,725878.43,4374540.72
69273,YJ2762H,726859.82,4372576.1
91053,YJ2790E,728984.27,4370380.34
27210,YJ2722B,722629.21,4371895.24
27210,YJ2722B,722676.53,4371895.9
95044,YJ2790D,729469.98,4370229.17
22576,YJ2725E,722132.15,4375557.22
96048,YJ2790F,729535.69,4370324.18
49396,YJ2743H,724823.27,4373710.94
49395,YJ2743H,724861.52,4373697.7
61442,YJ2764C,726030.69,4374256.93
70782,YJ2677G,726933.85,4367656.01
70783,YJ2677G,726986.98,4367678.39
71784,YJ2677E,727050.69,4367657.22
61447,YJ2764C,726004.35,4374219.89
61432,YJ2764C,726042.68,4374171.12
97409,YJ2794B,729643.68,4373848
63386,YJ2763G,726238.83,4373601.43
61379,YJ2763E,726020.44,4373548.54
63384,YJ2763G,726257.44,4373649.98
63388,YJ2763G,726270.65,4373617.73
63376,YJ2763E,726221.69,4373515.25
63361,YJ2763E,726217.96,4373487.52
13521,YJ3515A,731221.79,4355050.39
54950,YJ2659E,725364.56,4369290.46
97299,YJ2792H,729637.06,4372733.01
95282,YJ2792H,729423.74,4372678.54
98284,YJ2792H,729784.58,4372658.01
99237,YJ2792D,729811.28,4372106
98233,YJ2792D,729774.65,4372186.58
99231,YJ2792D,729809.63,4372176.09
94223,YJ2792C,729315.41,4372081.39
95221,YJ2792D,729406.22,4372099.9
95223,YJ2792D,729474.39,4372056.02
97392,YJ2794B,729634.61,4373789.43
53495,YJ2754G,725283.02,4374699.65
52474,YJ2754G,725186.93,4374542.56
54487,YJ2754G,725343.88,4374595.17
98408,YJ2794B,729697.78,4373835.78
97396,YJ2793H,729655.72,4373749.68
96391,YJ2793H,729579.86,4373781.89
96408,YJ2794B,729547.2,4373801.57
98403,YJ2794B,729790.53,4373884.79
98392,YJ2793H,729738.21,4373787.61
98396,YJ2793H,729736.23,4373703.64
32087,YJ2730G,723147.37,4370587.57
90047,YJ2790E,728943.34,4370216.81
92051,YJ2790E,729098.44,4370300.8
91046,YJ2790E,729074.51,4370227.81
68793,YJ2667H,726781.39,4367819.62
60456,YJ2764E,725959.2,4374297.95
60449,YJ2764C,725921.39,4374207.03
59441,YJ2754D,725791.97,4374273.05
62376,YJ2763E,726162.5,4373532.12
60361,YJ2763E,725891.14,4373462.69
60369,YJ2763E,725945.84,4373431.15
61367,YJ2763E,726014.9,4373397.02
62352,YJ2763E,726096.24,4373347.66
53537,YJ2755C,725274.9,4375107.9
53546,YJ2755C,725257.42,4375225.72
54549,YJ2755C,725358.78,4375272.71
54547,YJ2755C,725377.5,4375163.58
54536,YJ2755C,725376.06,4375140.14
55532,YJ2755D,725409.55,4375146.48
54528,YJ2755A,725331.55,4375033.91
54514,YJ2755A,725390.83,4374975.44
96263,YJ2792F,729578,4372504.9
98263,YJ2792F,729766.17,4372465.23
96214,YJ2792B,729579.28,4371941.96
96186,YJ2791H,729523.47,4371601.51
95262,YJ2792F,729432.6,4372460.95
96268,YJ2792F,729510.75,4372441.21
96229,YJ2792D,729536.7,4372050.48
96223,YJ2792D,729581.93,4372050.15
97221,YJ2792D,729621.1,4372060.06
97229,YJ2792D,729646.76,4372069.57
97224,YJ2792D,729682.93,4372047.19
98228,YJ2792D,729716.75,4372062.62
01325,YJ3703A,730049.58,4373018.56
02402,YJ3704A,730090.73,4373842.97
02401,YJ3704A,730093.04,4373797.51
02389,YJ3703G,730126.93,4373633.43
02382,YJ3703G,730129.24,4373597.99
02369,YJ3703E,730137.7,4373443.15
02368,YJ3703E,730139.24,4373417.73
02353,YJ3703E,730118.44,4373381.52
02352,YJ3703E,730119.86,4373336.44
02358,YJ3703E,730144.47,4373302.98
02344,YJ3703C,730144.86,4373276.91
02339,YJ3703C,730150.14,4373154
02338,YJ3703C,730151.71,4373119.24
02319,YJ3703A,730133.08,4372955.77
02294,YJ3702G,730138.12,4372767.65
00224,YJ3702A,729995.93,4372020.27
01225,YJ3702A,730073.76,4372019.71
98283,YJ2692H,729714.67,4362672.77
98389,YJ2793H,729728.64,4373666.6
97285,YJ2692H,729663.37,4362655.09
98282,YJ2692H,729693.91,4362645.69
98292,YJ2692H,729716.38,4362712.29
91037,YJ2790E,729055.68,4370154.47
93055,YJ2790E,729258.65,4370359.23
93033,YJ2790E,729193.28,4370169.63
90069,YJ2790E,728959.38,4370465.31
90052,YJ2790E,728897.09,4370364.45
92061,YJ2790E,729093.87,4370385.16
70785,YJ2677G,726986.27,4367607.67
69792,YJ2667H,726814.28,4367811.85
69793,YJ2667H,726877.64,4367766.67
50621,YJ2756C,724916.74,4376059.85
50618,YJ2756A,724926.77,4375966.34
70713,YJ2677A,726913.26,4366973.51
94704,YJ2697A,729319.51,4366804.02
93716,YJ2697A,729287.9,4366928.9
